메뉴명,종류,컨디션,이모지,칼로리(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
김치찌개,한식,술 한잔|추운 날,🍲,456,25,28,26,1962
간장게장,한식,특별한 날|가성비,🦀,198,8,28,6,2100
양념게장,한식,특별한 날|스트레스 받을 때,🦀,232,14,26,8,2000
고등어구이,한식,가성비|몸이 아플 때,🐟,338,0,35,22,900
갈치조림,한식,특별한 날|가성비,🐟,310,14,32,14,1550
잡채,한식,특별한 날|가성비,🍜,422,62,12,14,1100
해물파전,한식,술 한잔|가성비,🥞,462,48,18,22,1250
김치전,한식,술 한잔|가성비,🥞,400,45,10,20,1150
두부김치,한식,술 한잔|다이어트 중,🥬,306,14,22,18,1250
닭볶음탕,한식,스트레스 받을 때|특별한 날,🍗,540,32,40,28,1600
오징어볶음,한식,스트레스 받을 때|가성비,🦑,358,30,28,14,1600
돼지갈비,한식,특별한 날|술 한잔,🍖,546,22,38,34,1300
열무국수,한식,더운 날|다이어트 중,🍜,387,78,12,3,1400
비빔국수,한식,더운 날|스트레스 받을 때,🍜,472,88,12,8,1500
물회,한식,더운 날|숙취 해소,🐟,324,35,28,8,1450
짜장면,중식,가성비|피곤할 때,🍜,785,125,24,21,2150
짬뽕,중식,스트레스 받을 때|숙취 해소,🍜,696,110,28,16,3500
탕수육,중식,특별한 날|스트레스 받을 때,🍖,558,65,25,22,850
마라탕,중식,스트레스 받을 때|더운 날,🌶️,845,75,35,45,2800
마라훠궈,중식,스트레스 받을 때|특별한 날,🔥,924,45,42,64,2950
마라샹궈,중식,스트레스 받을 때|술 한잔,🔥,952,55,48,60,2450
볶음밥,중식,가성비|피곤할 때,🍚,650,95,18,22,1100
탄탄면,중식,스트레스 받을 때|추운 날,🍜,787,92,26,35,2300
유산슬,중식,특별한 날|몸이 아플 때,🥘,344,22,28,16,1100
양장피,중식,술 한잔|특별한 날,🥗,424,38,32,16,1350
꿔바로우,중식,스트레스 받을 때|특별한 날,🍖,684,75,24,32,950
울면,중식,몸이 아플 때|추운 날,🍜,522,88,20,10,2000
기스면,중식,몸이 아플 때|숙취 해소,🍜,448,72,22,8,1750
백짬뽕,중식,술 한잔|추운 날,🍜,658,98,26,18,3100
간짜장,중식,가성비|피곤할 때,🍜,802,118,24,26,2050
삼선짜장,중식,특별한 날|가성비,🍜,758,112,28,22,2100
팔보채,중식,특별한 날|다이어트 중,🦐,342,22,32,14,1250
깐풍기,중식,술 한잔|스트레스 받을 때,🍗,564,48,30,28,1300
라조기,중식,스트레스 받을 때|특별한 날,🌶️,542,45,32,26,1400
마파두부덮밥,중식,가성비|스트레스 받을 때,🍚,644,92,24,20,1800
새우볶음밥,중식,가성비|특별한 날,🍚,636,92,22,20,1150
중국냉면,중식,더운 날|다이어트 중,🍜,498,82,20,10,1600
고추잡채,중식,다이어트 중|가성비,🫑,326,28,22,14,1150
초밥,일식,특별한 날|다이어트 중,🍣,476,85,25,4,950
돈가스,일식,가성비|피곤할 때,🍱,638,55,28,34,1250
라멘,일식,추운 날|술 한잔,🍜,752,90,26,32,2400
우동,일식,추운 날|가성비,🍲,402,82,14,2,2100
규동,일식,가성비|피곤할 때,🍚,677,98,24,21,1450
샤브샤브,일식,다이어트 중|추운 날,🍲,454,35,38,18,1250
카레라이스,일식,가성비|피곤할 때,🍛,560,95,18,12,950
텐동,일식,특별한 날|스트레스 받을 때,🍤,870,110,22,38,1200
사케동,일식,특별한 날|피곤할 때,🍣,584,82,28,16,750
가츠동,일식,피곤할 때|가성비,🍚,700,95,26,24,1350
냉모밀,일식,더운 날|가성비,🍜,366,75,12,2,1450
회덮밥,일식,다이어트 중|더운 날,🍣,484,78,25,8,1100
회,일식,특별한 날|다이어트 중,🐟,270,0,45,10,550
미소된장국,일식,몸이 아플 때|가성비,🥣,100,8,8,4,950
자루소바,일식,더운 날|다이어트 중,🍜,362,72,14,2,1300
나가사키짬뽕,일식,숙취 해소|추운 날,🍜,618,88,26,18,2600
미소라멘,일식,추운 날|스트레스 받을 때,🍜,750,92,28,30,2500
츠케멘,일식,특별한 날|스트레스 받을 때,🍜,792,105,30,28,2400
오야코동,일식,가성비|피곤할 때,🍚,618,95,28,14,1300
텐푸라,일식,술 한잔|특별한 날,🍤,550,52,18,30,900
야키토리,일식,술 한잔|가성비,🍢,330,10,32,18,1150
우나기동,일식,특별한 날|피곤할 때,🍱,686,92,30,22,1400
오차즈케,일식,숙취 해소|몸이 아플 때,🍵,306,62,10,2,1250
규카츠,일식,특별한 날|스트레스 받을 때,🥩,616,48,34,32,1150
카이센동,일식,특별한 날|다이어트 중,🍣,532,85,30,8,1050
까르보나라,양식,스트레스 받을 때|특별한 날,🍝,758,82,22,38,1100
파스타,양식,특별한 날|다이어트 중,🍝,519,78,18,15,950
스테이크,양식,특별한 날|피곤할 때,🥩,654,5,55,46,850
치즈피자,양식,스트레스 받을 때|특별한 날,🍕,617,72,26,25,1300
함박 스테이크,양식,특별한 날|가성비,🍖,556,32,35,32,1100
리조또,양식,특별한 날|피곤할 때,🍚,628,85,18,24,950
라자냐,양식,특별한 날|스트레스 받을 때,🧀,730,65,32,38,1450
에그 베네딕트,양식,특별한 날|피곤할 때,🍳,534,35,22,34,950
프렌치 토스트,양식,스트레스 받을 때|피곤할 때,🍞,494,62,12,22,550
감바스,양식,술 한잔|특별한 날,🦐,522,12,24,42,950
두부면 파스타,양식,다이어트 중|몸이 아플 때,🍝,304,18,22,16,550
크림스프,양식,추운 날|몸이 아플 때,🥣,270,28,8,14,900
미네스트로네,양식,추운 날|다이어트 중,🍲,214,30,10,6,1050
어니언 그라탕 수프,양식,추운 날|특별한 날,🧅,328,32,14,16,1300
로제 파스타,양식,스트레스 받을 때|특별한 날,🍝,650,84,20,26,1150
알리오 올리오,양식,가성비|술 한잔,🍝,632,88,16,24,900
봉골레 파스타,양식,술 한잔|숙취 해소,🍝,560,82,22,16,1250
마르게리타 피자,양식,가성비|특별한 날,🍕,548,68,24,20,1150
페퍼로니 피자,양식,스트레스 받을 때|가성비,🍕,636,70,26,28,1450
치킨 스테이크,양식,다이어트 중|피곤할 때,🍗,410,8,45,22,900
폭립,양식,특별한 날|스트레스 받을 때,🍖,640,28,42,40,1500
오믈렛,양식,몸이 아플 때|피곤할 때,🍳,302,6,20,22,750
감자 그라탕,양식,추운 날|가성비,🥔,462,52,14,22,1000
가스파초,양식,더운 날|다이어트 중,🍅,142,18,4,6,700
카프레제,양식,더운 날|특별한 날,🍅,258,10,14,18,650
떡볶이,분식,스트레스 받을 때|가성비,🍢,452,92,12,4,1250
김밥,분식,가성비|다이어트 중,🍙,374,68,12,6,850
모듬튀김,분식,술 한잔|스트레스 받을 때,🍤,530,55,10,30,750
잔치국수,분식,추운 날|가성비,🍜,414,85,14,2,1450
라면,분식,가성비|숙취 해소,🍜,495,80,10,15,1790
쫄면,분식,스트레스 받을 때|더운 날,🌶️,482,95,12,6,1650
군만두,분식,가성비|술 한잔,🥟,466,52,15,22,850
오뎅탕,분식,술 한잔|추운 날,🍢,240,15,18,12,1850
소떡소떡,분식,가성비|스트레스 받을 때,🌭,382,65,8,10,750
로제떡볶이,분식,스트레스 받을 때|특별한 날,🍢,606,95,16,18,1550
국물떡볶이,분식,추운 날|가성비,🍢,454,88,12,6,1450
치즈김밥,분식,가성비|피곤할 때,🍙,452,70,16,12,1050
참치김밥,분식,가성비|피곤할 때,🍙,486,72,18,14,1100
충무김밥,분식,가성비|더운 날,🍙,388,78,10,4,1300
순대,분식,술 한잔|가성비,🍢,390,52,14,14,1250
만둣국,분식,추운 날|몸이 아플 때,🥟,468,68,22,12,1500
떡만둣국,분식,추운 날|몸이 아플 때,🥟,536,85,22,12,1600
유부초밥,분식,가성비|다이어트 중,🍙,408,72,12,8,950
라볶이,분식,스트레스 받을 때|가성비,🍜,574,98,14,14,1700
치즈라면,분식,스트레스 받을 때|피곤할 때,🍜,572,82,16,20,1850
치즈버거,패스트푸드,피곤할 때|가성비,🍔,553,45,28,29,1150
후라이드치킨,패스트푸드,술 한잔|특별한 날,🍗,870,35,52,58,1500
샌드위치,패스트푸드,다이어트 중|피곤할 때,🥪,348,42,18,12,950
타코,패스트푸드,특별한 날|더운 날,🌮,402,38,22,18,1050
핫도그,패스트푸드,가성비|피곤할 때,🌭,320,32,12,16,750
클럽 샌드위치,패스트푸드,가성비|피곤할 때,🥪,438,45,24,18,1050
부리또,패스트푸드,가성비|스트레스 받을 때,🌯,622,78,28,22,1350
순살치킨,패스트푸드,술 한잔|스트레스 받을 때,🍗,792,42,48,48,1350
퀘사디아,패스트푸드,술 한잔|특별한 날,🫓,572,45,26,32,1150
불고기버거,패스트푸드,가성비|피곤할 때,🍔,486,48,24,22,1050
새우버거,패스트푸드,가성비|피곤할 때,🍔,454,46,18,22,950
치킨버거,패스트푸드,스트레스 받을 때|가성비,🍔,546,50,28,26,1200
감자튀김,패스트푸드,스트레스 받을 때|술 한잔,🍟,374,48,5,18,750
어니언링,패스트푸드,술 한잔|스트레스 받을 때,🧅,380,44,6,20,800
치킨너겟,패스트푸드,가성비|스트레스 받을 때,🍗,382,26,20,22,900
양념치킨,패스트푸드,술 한잔|스트레스 받을 때,🍗,848,58,46,48,1650
간장치킨,패스트푸드,술 한잔|특별한 날,🍗,780,48,48,44,1800
클램차우더,패스트푸드,추운 날|몸이 아플 때,🥣,312,30,12,16,1100
베이컨 에그 머핀,패스트푸드,숙취 해소|피곤할 때,🥪,362,32,18,18,950
랩 샌드위치,패스트푸드,다이어트 중|가성비,🌯,390,44,22,14,950
쌀국수,아시안,숙취 해소|몸이 아플 때,🍜,458,88,22,2,1850
팟타이,아시안,스트레스 받을 때|더운 날,🍝,724,105,22,24,1450
나시고랭,아시안,더운 날|피곤할 때,🍚,677,95,18,25,1250
분짜,아시안,더운 날|다이어트 중|스트레스 받을 때,🥢,538,80,23,14,1275
월남쌈,아시안,다이어트 중|특별한 날,🥬,405,70,20,5,900
똠양꿍,아시안,술 한잔|몸이 아플 때,🍤,334,25,18,18,1850
연어 포케,아시안,다이어트 중|피곤할 때,🥗,472,45,28,20,650
참치 포케,아시안,다이어트 중|더운 날,🥗,422,42,32,14,580
카오팟,아시안,가성비|피곤할 때,🍚,632,95,18,20,1200
반미,아시안,가성비|더운 날,🥖,454,62,20,14,1100
분보후에,아시안,추운 날|숙취 해소,🍜,570,85,26,14,1900
락사,아시안,추운 날|스트레스 받을 때,🍜,678,78,24,30,2100
그린커리,아시안,스트레스 받을 때|특별한 날,🍛,594,68,22,26,1500
마살라 커리,아시안,스트레스 받을 때|가성비,🍛,584,72,20,24,1450
탄두리 치킨,아시안,다이어트 중|특별한 날,🍗,362,8,42,18,1050
난,아시안,가성비|피곤할 때,🫓,312,52,8,8,700
볶음쌀국수,아시안,가성비|스트레스 받을 때,🍜,634,98,20,18,1400
하이난 치킨라이스,아시안,가성비|몸이 아플 때,🍚,608,88,28,16,1250
가파오라이스,아시안,스트레스 받을 때|가성비,🍚,670,92,26,22,1500
사테,아시안,술 한잔|특별한 날,🍢,330,12,30,18,950
시저샐러드,샐러드,다이어트 중|몸이 아플 때,🥗,378,12,15,30,850
연어샐러드,샐러드,다이어트 중|특별한 날,🥗,356,10,25,24,450
치킨 샐러드,샐러드,다이어트 중|가성비,🥗,322,15,25,18,750
스테이크 샐러드,샐러드,다이어트 중|특별한 날,🥗,374,12,32,22,650
콥샐러드,샐러드,다이어트 중|피곤할 때,🥗,402,14,28,26,850
리코타 치즈 샐러드,샐러드,특별한 날|다이어트 중,🥗,350,22,16,22,550
부라타 샐러드,샐러드,특별한 날|더운 날,🥗,370,16,18,26,600
닭가슴살 샐러드,샐러드,다이어트 중|피곤할 때,🥗,266,12,32,10,700
두부 샐러드,샐러드,다이어트 중|몸이 아플 때,🥗,262,14,20,14,600
새우 아보카도 샐러드,샐러드,다이어트 중|더운 날,🥗,332,16,22,20,650
콘 샐러드,샐러드,가성비|스트레스 받을 때,🥗,312,34,8,16,700
해초 샐러드,샐러드,숙취 해소|더운 날,🥗,108,12,6,4,900
감자 샐러드,샐러드,술 한잔|가성비,🥗,328,38,8,16,750
훈제연어 샐러드,샐러드,술 한잔|특별한 날,🥗,306,10,26,18,900
구운 채소 샐러드,샐러드,추운 날|다이어트 중,🥗,270,28,8,14,700
팥빙수,디저트,더운 날|스트레스 받을 때,🍧,457,95,8,5,150
조각케이크,디저트,스트레스 받을 때|특별한 날,🍰,398,45,5,22,250
그릭요거트,디저트,다이어트 중|몸이 아플 때,🍦,180,12,15,8,60
그릭요거트 볼,디저트,다이어트 중|피곤할 때,🍨,252,22,14,12,80
크로플,디저트,스트레스 받을 때|피곤할 때,🧇,430,52,6,22,350
와플,디저트,스트레스 받을 때|피곤할 때,🧇,446,65,6,18,450
베이글,디저트,가성비|피곤할 때,🥯,317,58,10,5,520
과일 도시락,디저트,피곤할 때|더운 날,🍓,197,45,2,1,10
수박화채,디저트,더운 날|피곤할 때,🍉,225,52,2,1,25
붕어빵,디저트,추운 날|가성비,🐟,336,58,8,8,350
호떡,디저트,추운 날|가성비,🥞,380,62,6,12,300
군고구마,디저트,추운 날|다이어트 중,🍠,273,62,4,1,60
단팥죽,디저트,추운 날|몸이 아플 때,🥣,348,68,10,4,250
마카롱,디저트,스트레스 받을 때|특별한 날,🍬,234,32,4,10,90
티라미수,디저트,스트레스 받을 때|특별한 날,🍰,398,42,8,22,220
초코 브라우니,디저트,스트레스 받을 때|피곤할 때,🍫,414,48,6,22,200
도넛,디저트,스트레스 받을 때|피곤할 때,🍩,412,52,6,20,380
아이스크림,디저트,더운 날|스트레스 받을 때,🍨,282,34,5,14,110
젤라또,디저트,더운 날|특별한 날,🍦,284,38,6,12,95
꿀떡,디저트,가성비|피곤할 때,🍡,284,58,4,4,180
치즈 플레이트,디저트,술 한잔|특별한 날,🧀,390,8,22,30,850
배숙,디저트,숙취 해소|추운 날,🍐,148,36,1,0,15
아이스 아메리카노,음료,피곤할 때|더운 날,☕,8,1,1,0,5
따뜻한 아메리카노,음료,추운 날|피곤할 때,☕,8,1,1,0,5
카페라떼,음료,피곤할 때|스트레스 받을 때,☕,202,18,10,10,130
바닐라 라떼,음료,스트레스 받을 때|피곤할 때,☕,253,34,9,9,140
콜드브루,음료,더운 날|피곤할 때,☕,12,2,1,0,10
녹차,음료,다이어트 중|몸이 아플 때,🍵,0,0,0,0,3
유자차,음료,추운 날|몸이 아플 때,🍵,136,34,0,0,15
생강차,음료,추운 날|몸이 아플 때,🍵,104,26,0,0,10
꿀물,음료,숙취 해소|피곤할 때,🍯,128,32,0,0,12
헛개차,음료,숙취 해소|가성비,🍵,16,4,0,0,20
토마토 주스,음료,숙취 해소|다이어트 중,🍅,64,14,2,0,480
오렌지 주스,음료,더운 날|피곤할 때,🍊,112,26,2,0,8
스무디,음료,더운 날|다이어트 중,🥤,186,38,4,2,60
밀크셰이크,음료,스트레스 받을 때|더운 날,🥤,398,58,10,14,220
식혜,음료,가성비|더운 날,🍚,172,42,1,0,60
딸기 라떼,음료,특별한 날|스트레스 받을 때,🍓,280,44,8,8,120
레몬에이드,음료,더운 날|스트레스 받을 때,🍋,160,40,0,0,30
제로 콜라,음료,술 한잔|다이어트 중,🥤,0,0,0,0,25
